STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year
1448,"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",ANDHRA PRADESH,25.9,5.5,7.6,569,1.3,0.9,18,141,2014
2352,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,26.5,5.4,7.8,310,0.8,2.4,7,107,2014
3080,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,18.9,7.1,7.8,516,0.7,0.5,2,1238,2014
3081,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,20.5,6.9,8,505,0.9,0.7,2,1563,2014
1448,"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",ANDHRA PRADESH,27,6,7.3,432,1.2,3,3,78,2013
2352,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,26.8,6.1,7.7,328,1.2,1,3,211,2013
3080,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,19,5.8,7.8,707,0.6,0.85,2,1100,2013
3081,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,21.4,6.1,8,674,0.9,1,2,1260,2013
1448,NAGAVALLI AT THOTAPALLI REGULATOR,ANDHRA PRADESH,27,6,7.6,429,1.1,1.1,3,362,2012
2352,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,27,6,7.8,308,1.1,1.47,3,343,2012
3080,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM",ANDHRA PRADESH,20,5.8,7.4,505,0.6,0.73,4,1517,2012
3081,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM",ANDHRA PRADESH,24,6.1,7.5,465,0.5,0.34,4,1458,2012
1448,"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",ANDHRA PRADESH,27.6,6.2,7.5,371,1.1,1.62,3,528,2011
2352,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,27.6,6.2,7.7,316,1.3,2.41,3,312,2011
1393,"DAMANGANGA AT D/S OF MADHUBAN, DAMAN",DAMAN & DIU,30.6,6.7,7.5,203,NAN,0.1,11,27,2014
2,"DAMANGANGA AT D/S OF MADHUBAN, DAMAN",DAMAN & DIU,NAN,NAN,0,208,NAN,NAN,NAN,NAN,2013
1393,DAMANGANGA AT D/S OF MADHUBAN,DAMAN & DIU,31,7.1,7.8,151,8,0.08, , ,2012
1393,DAMANGANGA AT D/S OF MADHUBAN,DAMAN & DIU,29.1,6.7,7.7,218,5,1.31,NAN,NAN,2011
2459,"DAMANGANGA AT ZARI CAUSE WAY BRIDGE, DAMAN ",DAMAN & DIU,29.9,5.6,7.5,15608,25,18.73,5,5,2010
2460,DAMANGANGA AT DISCHARG POINT DISTILLARY,DAMAN & DIU,29.9,3.7,7.5,39503,13.5,25.71,NAN,NAN,2010
2461,"DAMANGANGA AT DAMAN JETTY, MOTI DAMAN",DAMAN & DIU,29.8,4.7,7.6,46170,21.5,19.69,NAN,NAN,2010
2462,"DAMANGANGA AT VAPI WEIR, VAPI",DAMAN & DIU,30.2,5.8,7.8,378,NAN,2.61,NAN,NAN,2010
2463,"DAMANGANGA AT LAVACHA TEMPLE, DADRA",DAMAN & DIU,29.7,6.6,7.7,489,NAN,2.66,350,350,2010
2464,"DAMANGANGA at D/s of M/s Surat Beverages, Dadra",DAMAN & DIU,30.1,6.6,7.4,492,NAN,3.6,NAN,NAN,2010
2465,"DAMANGANGA AT NAROLI BRIDGE, SILVASSA",DAMAN & DIU,30.3,6.2,7.8,359,NAN,3.67,4,NAN,2010
2466,"DAMANGANGA AT VILLAGE NAMDHA, VAPI",DAMAN & DIU,29.8,5.8,7.7,8757,NAN,10.45,4,4,2010
2459,DAMANGANGA AT ZUARI CAUSE WAY BRIDGE,"DAMAN, DIU, DADRA NAGAR HAVELI",27,4.2,7.9,4909,18,7,NAN,NAN,2011
2460,DAMANGANGA AT DISCHARGE POINT OF DISTILLERY,"DAMAN, DIU, DADRA NAGAR HAVELI",28.1,4.6,8,23576,158.8,6.88,35,46,2011
2461,"DAMANGANGA AT DAMAN JETTY, MOTI DAMAN","DAMAN, DIU, DADRA NAGAR HAVELI",29.1,4.8,7.8,65700,164,3.42,NAN,NAN,2011
2462,"DAMANGANGA AT VAPI WEIR,VAPI","DAMAN, DIU, DADRA NAGAR HAVELI",27.7,6.7,8.5,235,NAN,3.1,NAN,NAN,2011
2463,"DAMANGANGA AT LAVACHA TEMPLE, SILVASSA","DAMAN, DIU, DADRA NAGAR HAVELI",27.1,6.7,8.3,262,NAN,NAN,NAN,NAN,2011
2464,"DAMANGANGA AT D/S OF M/S SURAT BEVERAGES, VILLAGE DADRA, SILVASSA","DAMAN, DIU, DADRA NAGAR HAVELI",27.1,6.8,7.8,227,NAN,NAN,NAN,NAN,2011
2465,"DAMANGANGA AT NAROLI BRIDGE, SILVASSA","DAMAN, DIU, DADRA NAGAR HAVELI",27.3,6.8,8.5,249,NAN,0.11,NAN,NAN,2011
2466,"DAMANGANGA AT VILLAGE NAMDHA, VAPI","DAMAN, DIU, DADRA NAGAR HAVELI",27,4.2,8.2,2754,42,NAN,NAN,NAN,2011
1399,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,29.8,5.7,7.2,189,2,0.2,4953,8391,2014
1475,ZUARI AT PANCHAWADI,GOA,29.5,6.3,6.9,179,1.7,0.1,3243,5330,2014
3181,RIVER ZUARI AT BORIM BRIDGE,GOA,29.7,5.8,6.9,64,3.8,0.5,5382,8443,2014
3182,RIVER ZUARI AT MARCAIM JETTY,GOA,29.5,5.8,7.3,83,1.9,0.4,3428,5500,2014
1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,30,5.5,7.4,81,1.5,0.1,2853,4049,2014
1476,"MANDOVI AT TONCA, MARCELA, GOA",GOA,29.2,6.1,6.7,308,1.4,0.3,3355,5672,2014
3185,RIVER MANDOVI AT AMONA BRIDGE,GOA,29.6,6.4,6.7,414,1,0.2,6073,9423,2014
3186,RIVER MANDOVI AT IFFI JETTY,GOA,30,6.4,7.6,305,2.2,0.1,3478,4990,2014
3187,RIVER MANDOVI NEAR HOTEL MARRIOT,GOA,30.1,6.3,7.6,77,2.3,0.1,2606,4301,2014
1543,"RIVER KALNA AT CHANDELNAN PERNEM, GOA",GOA,27.8,7.1,7.1,176,1.2,0.1,4573,7817,2014
1548,"RIVER ASSONORA AT ASSONORA, GOA",GOA,27.9,6.7,6.4,93,1.4,0.1,2147,3433,2014
2276,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,29.3,7.4,6.8,121,1.7,0.4,11633,18125,2014
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,29.2,6.9,7,620,1.1,0.1,3500,6300,2014
3189,RIVER CHAPORA AT SIOLIM,GOA,30,6,7.5,72,1.6,0.2,4995,9517,2014
1546,"RIVER KHANDEPAR AT OPA NAN PONDA, GOA",GOA,29,7.3,7,247,1.5,0.2,1095,2453,2014
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,29.1,7.3,7,188,1,0.1,1286,3048,2014
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,28.7,7,6.9,224,1.2,0.3,3896,6742,2014
1545,"RIVER MADAI AT DABOS NAN  VALPOI, GOA",GOA,28.7,7.3,6.7,144,1.5,0.1,1940,3052,2014
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,29.5,5.3,6.8,319,1.8,0.3,6458,10250,2014
2271,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,29,6.3,6.4,79,1.6,1.4,7592,12842,2014
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,29.4,5.4,7.6,39,1.4,0.1,3176,6367,2014
3183,"RIVER SAL AT KHAREBAND, MARGAO",GOA,28.3,2.2,6.5,322,4.7,1.2,11210,14920,2014
3184,"RIVER SAL AT ORLIM BRIDGE, ORLIM",GOA,30.1,5.2,7.1,192,2.6,0.3,5073,8925,2014
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,30.3,5.6,7.5,282,1.8,0.1,3205,5082,2014
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,30.5,5.5,7.4,275,1.5,0.1,4698,8625,2014
1547,"RIVER TALPONA AT CANACONA, GOA",GOA,29.1,7.3,6.7,55,1.4,0.1,2638,4003,2014
3188,RIVER TIRACOL AT TIRACOL,GOA,30.1,6.5,7.5,415,2,0.1,864,1538,2014
1544,"RIVER VALVANT AT SANKLI NAN BICHOLIM, GOA",GOA,29.2,7.2,6.3,100,1.5,0.1,7942,13575,2014
1399,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,30,5.6,7.5,41,2,0.08,7022,13410,2013
1475,ZUARI AT PANCHAWADI,GOA,30.4,5.5,6.7,209,0.8,0.17,1893,2915,2013
3181,RIVER ZUARI AT BORIM BRIDGE,GOA,30.8,5.5,7.1,123,1.5,0.09,3293,6264,2013
3182,RIVER ZUARI AT MARCAIM JETTY,GOA,30.3,5.3,7.3,182,1.5,0.08,1976,3080,2013
1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,30.1,6,7.6,100,1.2,0.17,5129,6086,2013
1476,"MANDOVI AT TONCA, MARCELA, GOA",GOA,29.9,5.7,6.9,111,1,0.14,939,3061,2013
3185,RIVER MANDOVI AT AMONA BRIDGE,GOA,29.1,6.4,7.1,140,1.1,0.1,4464,7908,2013
3186,RIVER MANDOVI AT IFFI JETTY,GOA,29.9,6.2,7.8,44,2,0.06,9429,9320,2013
3187,RIVER MANDOVI NEAR HOTEL MARRIOT,GOA,29.8,6.1,7.6,43,1.8,0.06,6668,9554,2013
1543,"RIVER KALNA AT CHANDELNAN PERNEM, GOA",GOA,27.9,7,6.9,64,1.1,0.09,1641,2841,2013
1548,"RIVER ASSONORA AT ASSONORA, GOA",GOA,28.2,6.6,6.5,62,1,0.14,4073,7190,2013
2276,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,29.6,7,6.8,304,2,0.49,12140,23867,2013
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,28.8,7,7,55,1.2,0.66,1298,2813,2013
3189,RIVER CHAPORA AT SIOLIM,GOA,29.5,6.3,7.6,213,1.5,0.06,3803,7069,2013
1546,"RIVER KHANDEPAR AT OPA NAN PONDA, GOA",GOA,29.8,6.7,6.8,83,1.2,0.17,2140,3559,2013
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,29.7,7.1,6.6,76,1,0.12,2367,3527,2013
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,28.7,6.7,6.6,107,1.3,0.22,2461,3757,2013
1545,"RIVER MADAI AT DABOS NAN  VALPOI, GOA",GOA,27.9,7.2,6.7,89,0.9,0.06,832,1996,2013
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,29.3,4.2,6.7,192,2,0.16,4448,9286,2013
2271,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,28.6,6.3,6.6,79,1.6,0.19,2830,6054,2013
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,29.8,5.6,7.7,142,1.7,0.14,1831,3644,2013
3183,"RIVER SAL AT KHAREBAND, MARGAO",GOA,28.6,2.8,6.4,424,3.2,0.35,12658,21036,2013
3184,"RIVER SAL AT ORLIM BRIDGE, ORLIM",GOA,30.6,5.2,7.1,306,2.6,0.34,1411,1525,2013
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,30.3,5.6,7.7,40,1.5,0.07,4153,7130,2013
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,30.4,5.5,7.7,40,1.5,0.08,7086,12282,2013
1547,"RIVER TALPONA AT CANACONA, GOA",GOA,29.6,6.9,6.7,63,0.9,0.21,691,1132,2013
3188,RIVER TIRACOL AT TIRACOL,GOA,29.6,6.3,7.6,227,1.7,0.08,3622,3612,2013
1544,"RIVER VALVANT AT SANKLI NAN BICHOLIM, GOA",GOA,29.5,7.1,6.6,68,1.1,0.13,4124,8167,2013
1399,ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS,GOA,31,5.9,7.2,52,2.1,0.08, ,90,2012
1475,ZUARI AT PANCHAWADI,GOA,30,6.1,6.8,408,1.3,0.17,1300,3808,2012
3181,RIVER ZUARI AT BORIM BRIDGE,GOA,30,5.5,6.9,143,1.3,0.09,4100,11113,2012
3182,RIVER ZUARI AT MARCAIM JETTY,GOA,29,5.4,7.2,60,1.5,0.08,428,2309,2012
1400,MANDOVI AT NEGHBOURHOOD OF PANAJI,GOA,29,5.8,7.2,34,5.3,0.17,855,3322,2012
1476,"MANDOVI AT TONCA, MARCELA",GOA,29,5.9,6.7,125,1.5,0.14,1638,5793,2012
3185,MANDOVI AT AMONA BRIDGE,GOA,28,6.4,6.7,175,1.3,0.1,772,3636,2012
3186,RIVER MANDOVI AT IFFI JETTY,GOA,30,6.2,7.7,39,1.3,0.06,1296,4517,2012
3187,MANDOVI NEAR HOTEL MARRIOT,GOA,30,6.1,7.8,39,1.5,0.06,1032,5840,2012
1543,KALNA AT CHANDELNAN PERNEM,GOA,27,7.3,6.9,61,0.7,0.09,1430,4388,2012
1548,RIVER ASSONORA AT ASSONORA,GOA,28,6.8,6.6,71,1.5,0.14,2495,3949,2012
2276,"BICHOLIM VARAZAN NAGAR, BICHOLIM",GOA,29,7.4,6.5,129,2.3,0.49,5868,16691,2012
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,28,7,6.8,503,1.6,0.66,965,2404,2012
3189,RIVER CHAPORA AT SIOLIM,GOA,29,6.3,7.5,31,1.6,0.06,1466,4267,2012
1546,KHANDEPAR AT OPA NAN PONDA,GOA,29,7.1,6.8,70,0.8,0.17,716,3567,2012
2270,"KHANDEPAR AT CODLI NR BDG, U/S OPA WATERWORKS,SANGUEM",GOA,30,7.3,6.8,69,1.2,0.12,457,2446,2012
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,28,6.7,6.6,118,1,0.22,1104,3496,2012
1545,RIVER MADAI AT DABOS NAN  VALPOI,GOA,28,7.4,6.8,80,1.3,0.06,274,1404,2012
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,29,4.5,6.6,250,2.4,0.16,1572,5889,2012
2271,"SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,28,6.1,6.9,74,1.8,0.19,1074,3937,2012
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,30,5.9,7.3,44,1.6,0.14,962,2794,2012
3183,"SAL AT KHAREBAND, MARGAO",GOA,30,2.4,6.5,195,4.8,0.35,7980,14217,2012
3184,"SAL AT ORLIM BRIDGE, ORLIM",GOA,31,4,6.8,207,1.8,0.34,818,2280,2012
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,29,5.4,7.6,40,1.6,0.07,290,1330,2012
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,30,5.3,7.6,41,1.4,0.08,952,2517,2012
1547,RIVER TALPONA AT CANACONA,GOA,29,7,6.9,54,0.8,0.21,667,3059,2012
3188,RIVER TIRACOL AT TIRACOL,GOA,29,5.9,7.7,44,2.1,0.08,1200,831,2012
1544,VALVANT AT SANKLI NAN BICHOLIM,GOA,29,7.1,6.5,60,1.7,0.13,2926,8163,2012
1399,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,28.7,6.8,6.5,43,1.1,0.42,8,178,2011
1475,ZUARI AT PANCHAWADI,GOA,29.3,6.6,7,59,1.1,0.27,8,113,2011
1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,28.8,6,6.2,106,1.5,0.28,9,166,2011
1476,"MANDOVI AT TONCA, MARCELA, GOA",GOA,28.3,5.9,6.6,516,1.1,0.18,8,169,2011
1543,RIVER KALNA AT CHANDELNAN PERNEM,GOA,25.8,7.3,6.1,87,0.9,0.33,6,169,2011
1548,RIVER ASSONORA AT ASSONORA,GOA,28.3,7.3,5.9,74,1.5,0.22,8,163,2011
2276,RIVER BICHOLIM VARAZAN NAGAR,GOA,27.8,6.7,6.3,127,2,0.44,10,149,2011
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,26,6.8,6.2,226,1.6,0.18,9,151,2011
1546,RIVER KHANDEPAR AT OPA NAN PONDA,GOA,27.8,7.1,5.9,93,1.8,0.28,9,131,2011
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,26.3,7.4,6.2,76,1.3,0.41,11,133,2011
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,25.7,7.3,6.2,113,1.2,0.33,9,137,2011
1545,RIVER MADAI AT DABOS NAN  VALPOI,GOA,29,7.3,5.9,100,1.3,0.27,6,173,2011
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,26.9,6,5.9,273,1.8,0.31,10,171,2011
2271,"RIVER SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,27,6.1,6.5,201,2,0.43,9,149,2011
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,27.5,6.2,6.3,245,1.8,0.31,7,135,2011
1547,RIVER TALPONA AT CANACONA,GOA,28.3,7,6.5,75,0.9,0.22,7,166,2011
1544,"VALVANT AT SANKLI NAN BICHOLIM, GOA",GOA,29,7.3,6,74,1.6,0.11,8,181,2011
1150,"DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT",GUJARAT,27.1,7.3,7.9,693,0.5,1,161,173,2013
1246,"DAMANGANGA AT KACHIGAON D\S (DAMAN), GUJARAT",GUJARAT,27.3,5,7.6,1676,1.8,8,329,174,2013
1865,RIVER DHADAR AT KOTHADA,GUJARAT,NAN,NAN,0,506,NAN,6,26,227,2013
1434,"AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,GUJARAT",GUJARAT,24.5,6,7.7,1863,8.6,1,47,1183,2013
1980,AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,GUJARAT,NAN,NAN,NAN,24300,NAN,7,22474,24,2013
1149,"KOLAK AT PATALIA BDG., GUJARAT",GUJARAT,27.5,5.3,7.8,817,2.8,1,9,23,2013
1436,"BHADAR V/S JETPUR VILL. A/C OF W. WATER FROM JETPUR CITY, GUJARAT",GUJARAT,28.3,4.3,7.8,2307,103.8,1.23,NAN,1817,2013
1860,BALEHWAR KHADI AT N.H. NO 8,GUJARAT,28.4,4.5,8.3,1287,1.5,11,116,5,2013
2082,TRIVENI SANGAM,GUJARAT,NAN,NAN,NAN,NAN,NAN,0,NAN,2,2013
1148,"AMBIKA AT BILIMORA, GUJARAT",GUJARAT,27.6,6.8,8.2,1862,2.5,0.87,7,64,2013
3205,"UPSTREAM OF RIVER VISHWAMITRI AT ASOD BRIDGE AT N.H. 8 , NEAR GLDEN CHOKDI, ASOD VEMALI ROAD",GUJARAT,NAN,5,8,NAN,0.7,0,NAN,NAN,2013
3204,"DOWNSTREAM OF RIVER VISHWAMITRI AT KHALIPUR VILLAGE, BEFORE MEETING JAMBUVA RIVER",GUJARAT,NAN,3,7.7,NAN,0.4,0,NAN,NAN,2013
1862,KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,GUJARAT,27,6.7,8.1,2520,7.2,1,6,41,2013
2072,RIVER BHOGAVO D/S OF SURENDRANAGAR,GUJARAT,29,8.2,8.4,606,2.9,0,NAN,NAN,2013
1150,DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT,28,7.2,7.4,319,0.7,0.18,5,10,2012
1865,RIVER DHADAR AT KOTHADA,GUJARAT,27,6.2,8.4,894,9,0.38,140,350,2012
1434,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESHWAR,GUJARAT,30,2.2,8,1835,17.9,0.86,10478,25478,2012
1980,AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,GUJARAT,31,2,7.7,3165,32.3,3.44,11498,15173,2012
1149,KOLAK AT PATALIA BDG,GUJARAT,29,2.4,7.6,1500,6.2,1.31,3,13,2012
1150,DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT,27.6,7.1,7.3,212,1.4,0.84,3,6,2011
1246,DAMANGANGA AT KACHIGAON D\S (DAMAN),GUJARAT,28.2,5,8.3,12771,4.1,1.48,7,30,2011
1860,BALEHWAR KHADI AT N.H. NO. 8,GUJARAT,28,6.7,8,304,1.5,0.18,1500,3550,2011
1861,PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,GUJARAT,28.5,5.8,7.7,1315,2.5,0.22,1900,6800,2011
1862,KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,GUJARAT,29.5,5.9,7.6,36593,3.9,0.07,1200,3200,2011
1865,DHADAR AT KOTHADA,GUJARAT,27,7.6,7.7,1291,10,0.34,23,77,2011
1148,AMBIKA AT BILIMORA,GUJARAT,29.5,6,7.7,18865,3.6,3.12,900,2450,2011
1435,"KOLAK AT RAILWAY BRIDGE NO. 313 VAPI,VALSAD",GUJARAT,27,4.3,8.4,605,6.5,1.68,5,15,2011
1149,KOLAK AT PATALIA BDG.,GUJARAT,26.7,3.7,8.2,600,4.3,1.66,6,20,2011
1438,MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN,GUJARAT,27,4.6,7.2,729,4,0.33,900,2300,2011
2082,"TRIVENI SANGAM, NR. SOMNATH TEMPLE, VERAVAL, DIST. JUNAGADH.",GUJARAT,26.8,6.2,8.4,2670,1.3,0.24,NAN,NAN,2011
1860,BALEHWAR KHADI AT N.H. NO. 8,GUJARAT,26,5.1,8.1,533,3.7,0.45,3900,7500,2010
1861,RIVER PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,GUJARAT,27,7.1,8,555,2,0.35,7500,15000,2010
1862,RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,GUJARAT,27,6.8,8.2,26600,3.1,0.62,9000,23000,2010
1865,RIVER DHADAR AT KOTHADA,GUJARAT,29.3,8.1,7.6,938,8.6,0.4,22,108,2010
1148,"AMBIKA AT BILIMORA, ",GUJARAT,28.4,6.2,7.8,7778,2.7,0.26,2880,6581,2010
1434,"AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,",GUJARAT,32,NAN,7.2,1440,46,0.2,80,330,2010
1438,"MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN, ",GUJARAT,28.3,3.2,7.7,885,6.3,0.51,3900,9575,2010
1885,RIVER GHAGGAR AT D/S OF SURAJPUR,HARYANA,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2014
