STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,29.7,5.3,6.8,99,2.8,0.79,106,523,2013
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,28.2,3.6,6.5,22131,1.8,0.95,105,261,2013
2305,R SHRIYA AT ANGADIMOGARU,KERALA,28.9,6.9,6.7,66,1.8,0,93,205,2013
2296,R THALLASSERY AT PATHIPPALAM,KERALA,26.4,6,6.6,67,1.5,3.69,168,398,2013
2292,R THIRUR AT THALAKKADATHUR BRIDGE,KERALA,30,4.9,6.8,9107,1.6,1,208,614,2013
2306,R UPPALA AT  UPPALA BR.,KERALA,30.8,6.3,7,18931,1.4,1,34,201,2013
3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",KERALA,27.8,6.6,6.8,15525,1.1,0.06,149,347,2013
1442,"VAMANAPURAM, KERALA",KERALA,26.7,7.1,7.5,46,0.8,1,239,1097,2013
1342,ACHENKOIL AT THUMPAMON,KERALA,26,7,7.2,79,0.8,0.62,279,637,2012
1443,ACHENKOIL AT CHENNITHULA,KERALA,26,6.6,7,67,1.1,0.53,275,670,2012
3465,"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",KERALA,26,6.6,7.3,59,0.7,0.57,281,541,2012
3466,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE),PATHANAMTHITTA",KERALA,26,6.2,7.3,66,0.8,0.55,303,609,2012
2297,ANCHARAKANDY AT MERUVAMBA,KERALA,26,7.1,7,67,1,0.34,170,538,2012
2319,ANCHARAKANDY AT MERUVAMBA,KERALA,26,7,6.7,5341,1.1,0.37,158,528,2012
2286,R AYROOR AT AYROOR BRIDGE,KERALA,29,6.7,7.3,89,1.1,0.35,1163,2025,2012
2331,BHARATHAPUZHA AT KUTTIPPURAM,KERALA,28,6.2,7.3,136,1,0.46,296,676,2012
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,28,7.1,8.1,212,0.9,0.56,524,992,2012
1154,CHALAKUDY AT PULICKALKANANDAVU,KERALA,29,6.3,6.3,134,1.2,0.67,224,780,2012
20,CHALIYAR AT KOOLIMADU,KERALA,26,7.3,7.2,76,0.6,0.31,468,893,2012
21,CHALIYAR AT CHUNGAPALLY,KERALA,26,7,7.3,11041,0.9,0.29,256,503,2012
3464,"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA,28,6.8,7.1,75,0.8,0.5,693,1169,2012
1572,CHANDRAGIRI AT PADIYATHADKA,KERALA,29,7.4,7.2,61,0.7,0.11,54,255,2012
1573,CHITRAPUZHA AT IRUMPANAM,KERALA,28,1.7,6.6,769,3.4,1.11,556,1717,2012
2295,R CORAPUZHA AT KANAYANKODE,KERALA,26,6.1,7.5,14083,1.4,0.25,920,2686,2012
1564,"R ITHIKKARA AT AYUR, KERALA",KERALA,26,6.6,7.2,92,0.8,0.77,332,660,2012
2287,R ITHIKKARA AT ITHIKKARA,KERALA,25,6.6,7.2,1348,0.8,1.01,392,810,2012
1566,R KADALUNDI AT THIRURANGADY,KERALA,29,6,6.7,95,1.2,0.29,253,680,2012
2293,R KADALUNDI AT HAJIRAPPALLY,KERALA,29,6.6,6.8,78,1,0.2,275,626,2012
2337,KADAMBAYAR AT BRAHMAPURAM,KERALA,28,0.6,6.7,268,4.1,1.28,400,1308,2012
2338,KADAMBAYAR AT MANCKAKADAVU,KERALA,27,1.8,6.6,82,2,0.39,399,1410,2012
42,"KALLADA AT PERUMTHOTTAM KADAVU, PUNALOOR",KERALA,25,7.1,7.2,61,1,0.34,251,608,2012
2294,R KALLAI AT KALLAI BRIDGE,KERALA,26,3.9,7.6,30298,2.5,0.59,4830,7240,2012
3460,"KALPATHI PUZHA AT KALPATHI, PALAKKAD",KERALA,27,6.6,8,310,1.1,0.54,517,783,2012
3458,KARAPUZHA DAM AT WAYANAD,KERALA,27,7,7.1,97,0.8,0.35,45,77,2012
1571,R KARINGODE AT KAKKADAVU,KERALA,29,7.3,7,51,0.7,0.18,65,258,2012
1155,KARAMANA AT MOONNATTUMUKKU,KERALA,29,0.5,7.1,1717,21.2,4.41,3317,15833,2012
3471,"RIVER KARAMANA AT ARUVIKARA, THIRUVANANTHAPURAM",KERALA,29,7,7.4,55,0.9,0.32,800,1400,2012
2289,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,29,6.1,6.8,67,1.1,0.58,80,394,2012
2301,R KAVVAI AT KUTTIYOL PALAM,KERALA,27,7,6.7,61,1.3,0.28,168,248,2012
2291,KEECHERI AT VADAKKANCHERY BDG,KERALA,30,5.2,6.9,81,1.5,0.37,71,465,2012
2326,R KORAYAR AT KANJIKODE,KERALA,27,6.1,8,510,1.1,0.72,784,1572,2012
1569,R KUPPAM AT THALIPARAMBA,KERALA,27,6.5,6.9,12150,1.8,0.52,711,1481,2012
2298,R KUPPAM AT RAYAROM,KERALA,25,7.9,7.2,50,1.1,0.3,319,845,2012
1567,R KUTTIYADE AT KUTTIYADY ESTATE,KERALA,25,7.5,6.9,34,0.9,0.14,110,256,2012
1568,"R MAHE AT VALAYAM, KERALA",KERALA,26,7,7.4,72,1,0.38,496,897,2012
2285,R MAMOM AT MAMOM BRIDGE,KERALA,29,7.3,7.3,99,0.9,0.23,1088,1788,2012
1340,MANIMALA  AT KALLOOPARA,KERALA,27,7.5,6.9,125,1.6,0.45,970,1400,2012
1384,MANIMALA AT THONDRA,KERALA,27,6.8,6.9,116,1.7,0.4,825,1260,2012
3459,"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",KERALA,27,5.8,7.3,107,0.9,0.88,232,343,2012
2307,R MANJESWAR AT BAJRAKKARA BR.,KERALA,28,7.1,7.2,85,0.8,0.31,67,184,2012
1339,MEENACHIL AT KIDANGOOR,KERALA,26,6.8,7.1,58,0.7,0.46,2010,3460,2012
2304,R MOGRAL AT MOGRAL BR.,KERALA,29,5.7,7.3,13197,1.5,0.35,46,144,2012
43,MUVATTAPUZHA AT VETTIKKATTUMUKKU,KERALA,27,6.7,7.1,58,1.2,0.39,964,1739,2012
2302,NEELASWARAM AT NAMBIARKAL ,KERALA,28,7,6.9,3453,0.9,0.17,56,278,2012
1570,R NEELESWARAM AT HOSDURG,KERALA,29,6.5,7,14369,1.3,0.27,63,175,2012
1563,R NEYYAR AT AMARAVILA,KERALA,28,6.6,7.3,70,1.4,0.39,838,1875,2012
2284,R NEYYAR AT ARUVIPURAM,KERALA,29,7,7.3,60,0.8,0.18,631,1813,2012
2288,R PALLICKAL AT NELLIMUKAL,KERALA,26,6.3,7.2,97,0.8,0.56,357,880,2012
1156,PAMBA AT CHENGANNUR,KERALA,28,6,7,63,1.1,1.04,243,493,2012
1341,PAMBA AT THAKAZHY,KERALA,28,4.4,7.1,113,1.5,1.17,358,722,2012
1565,PAMBA DOWN,KERALA,28,4.5,7.2,79,1,1.04,279,537,2012
17,PERIYAR NEAR ALWAYENANELOOR,KERALA,28,5.1,6.9,1789,2.1,0.68,408,1946,2012
18,PERIYAR AT KALADY,KERALA,27,7.5,7.2,36,1.1,0.27,282,1134,2012
1338,PERIYAR AT SEWAGE DISCHARGE POINT,KERALA,28,6.8,7,59,1.3,0.32,648,2267,2012
2333,PERIYAR AT MUPPATHADAM,KERALA,28,6.8,6.9,114,1.4,0.23,388,1785,2012
2334,RIVER PERIYAR AT PATHALAM,KERALA,28,5.9,6.8,1108,2.2,0.62,386,1520,2012
2335,R PERIYAR AT KALAMASSERY,KERALA,28,4.9,6.7,88,2.2,0.28,480,2200,2012
2336,R PERIYAR AT PURAPPALLIKAVU,KERALA,28,6.8,6.9,1686,1.4,0.25,236,1223,2012
3468,"PERIYAR AT KWA INTAKENAN ALUVA, ERNAKULAM",KERALA,28,7.1,6.9,45,1.2,0.29,451,1636,2012
2300,PERUVAMBA AT CHANDAPPURA,KERALA,26,6.9,6.6,56,1.1,0.3,177,542,2012
2303,R PULLUR AT PULLUR BR.,KERALA,28,6.5,6.3,49,1,0.22,87,323,2012
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,29,4.9,6.6,169,2.1,0.76,250,1241,2012
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,28,4.2,6.5,19575,1.4,0.39,210,528,2012
2305,R SHRIYA AT ANGADIMOGARU,KERALA,28,6.9,7.1,63,0.9,0.16,152,336,2012
2296,THALLASSERY AT PATHIPPALAM,KERALA,26,6.6,6.7,69,0.8,0.38,185,464,2012
2292,THIRUR AT THALAKKADATHUR BDG,KERALA,29,4.5,6.6,6381,2.1,0.34,196,435,2012
2306,R UPPALA AT  UPPALA BR.,KERALA,29,6.2,7.2,9326,1.3,0.22,61,141,2012
3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",KERALA,27,6.6,7.1,15158,1.1,0.26,126,810,2012
1442,VAMANAPURAM,KERALA,29,6.3,7.3,74,1.2,0.29,725,1813,2012
1342,ACHENKOIL AT THUMPAMON,KERALA,26.6,7.1,6.9,72,0.5,0.25,278,641,2011
1443,ACHENKOIL AT CHENNITHULA,KERALA,26.8,6.6,6.9,70,0.9,0.49,223,495,2011
2297,R ANCHARAKANDY AT MERUVAMBA,KERALA,26.6,6.9,7.1,52,0.8,0.18,46,520,2011
2319,R ANCHARAKANDY AT MERUVAMBA,KERALA,26.8,7.2,7,830,0.8,0.16,94,654,2011
2286,R AYROOR AT AYROOR BRIDGE,KERALA,29.3,6.3,6.9,95,1.3,0.99,750,1325,2011
2331,R BHARATHAPUZHA AT KUTTIPPURAM,KERALA,25.4,7.2,7.4,164,0.9,0.46,1325,2225,2011
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,25.5,6.9,7.5,231,0.8,0.55,1000,1725,2011
1154,CHALAKUDY AT PULICKALKANANDAVU,KERALA,26.6,6.5,6.9,101,1.3,0.47,468,1127,2011
20,"CHALIYAR AT KOOLIMADU, KERALA",KERALA,24.7,7.1,7.1,64,0.6,0.4,283,646,2011
21,CHALIYAR AT CHUNGAPALLY,KERALA,24.8,7.1,7.1,4600,0.6,0.35,229,538,2011
1572,CHANDRAGIRI AT PADIYATHADKA,KERALA,28,7.5,7.2,52,0.6,0.15,285,900,2011
1573,CHITTHRAPUZHA AT IRUMPANAM,KERALA,27.4,2,6.8,265,2.4,2.3,1525,5425,2011
2295,R CORAPUZHA AT KANAYANKODE,KERALA,26,5.6,7,12769,1.2,0.41,725,1650,2011
1564,"ITHIKKARA AT AYUR, KERALA",KERALA,27.4,7.1,7,90,0.6,0.64,338,625,2011
2287,R ITHIKKARA AT ITHIKKARA,KERALA,26.5,6.1,7,248,0.8,0.66,500,1150,2011
1566,KADALUNDY AT THIRURANGADY,KERALA,28.4,6,7,94,1.1,0.13,183,370,2011
2293,R KADALUNDI AT HAJIRAPPALLY,KERALA,28.8,6.5,7.5,76,0.8,0.08,275,585,2011
2337,R KADAMBAYAR AT BRAHMAPURAM,KERALA,26.7,1.5,6.6,192,3.6,0.92,881,2978,2011
2338,R KADAMBAYAR AT MANCKAKADAVU,KERALA,26.4,2,6.8,79,2.4,0.2,456,1275,2011
42,"KALLADA AT PERUMTHOTTAM KADAVU, PUNALOOR, KERALA",KERALA,26.5,7.2,7.1,52,0.6,0.15,298,687,2011
2294,R KALLAI AT KALLAI BRIDGE,KERALA,25.5,4,7.5,25964,1.1,0.76,945,1588,2011
1571,KARINGODE AT KAKKADAVU,KERALA,28,7.2,7.3,54,0.9,0.25,330,610,2011
1155,KARAMANA AT MOONNATTUMUKKU,KERALA,28,0.8,7.1,1239,11.9,1.87,4250,11000,2011
2289,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,27.9,6.4,6.5,58,1.3,0.34,255,960,2011
2301,R KAVVAI AT KUTTIYOL PALAM,KERALA,28.1,6.3,6.8,77,1.2,0.16,73,208,2011
2291,R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA,28.6,5.4,6.6,80,1.6,0.27,335,775,2011
2326,R KORAYAR AT KANJIKODE,KERALA,25.3,5.8,7.8,666,1,0.24,993,1650,2011
1569,R KUPPAM AT THALIPARAMBA,KERALA,28.3,6.6,7.2,12768,1.1,0.13,88,1412,2011
2298,R KUPPAM AT RAYAROM,KERALA,26.1,7.7,7.2,44,1,0.28,29,148,2011
1567,R KUTTIYADY AT  KUTTIYADY ESTATE,KERALA,24.3,7.1,7,27,0.4,0.11,73,218,2011
1568,"R MAHE AT VALAYAM, KERALA",KERALA,26,7.3,7.2,59,0.6,0.19,160,465,2011
2285,R MAMOM AT MAMOM BRIDGE,KERALA,28.5,7.8,7.1,119,0.7,0.87,875,1725,2011
1340,"MANIMALA  AT KALLOOPARA,",KERALA,26.6,7.3,7.1,54,1.3,0.41,415,913,2011
1384,"MANIMALA AT THONDRA, KERALA",KERALA,26.8,7,6.6,104,1.5,0.49,500,1000,2011
2307,R MANJESWAR AT BAJRAKKARA BR.,KERALA,28,6,7.2,92,0.7,0.38,765,1390,2011
1339,"MEENACHIL AT KIDANGOOR, KERALA",KERALA,26.2,6.8,6.6,48,0.5,0.44,1225,2025,2011
2304,R MOGRAL AT MOGRAL BR.,KERALA,28.5,5.6,7.1,20455,0.6,0.58,433,675,2011
43,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,26.5,7,7,56,1.1,0.43,768,1725,2011
2302,R NEELASWARAM AT NAMBIARKAL DAM,KERALA,29.3,6.7,6.9,2531,0.5,0.22,308,465,2011
1570,R NEELASWARAM AT HOSDURG,KERALA,29.3,6.2,7.2,15362,0.8,0.39,830,1303,2011
1563,"R NEYYAR AT AMARAVILA, KERALA",KERALA,27,7.3,7.2,62,0.8,0.95,525,985,2011
2284,R NEYYAR AT ARUVIPURAM,KERALA,27.3,7.6,7.2,59,0.6,0.65,463,1163,2011
2288,R PALLICKAL AT NELLIMUKAL,KERALA,27.9,6.4,6.8,83,0.5,0.42,175,575,2011
1156,"PAMBA AT CHENGANNUR, KERALA",KERALA,27.8,7,6.6,50,0.6,0.75,295,578,2011
1341,"PAMBA AT THAKAZHY, KERALA",KERALA,27.8,6.7,6.8,76,1.2,1.21,310,625,2011
1565,"PAMBA DOWN, KERALA",KERALA,28.3,6.7,6.6,64,0.9,1.35,428,838,2011
17,PERIYAR NEAR ALWAYENANELOOR,KERALA,27.5,5.6,6.9,943,1.5,0.4,655,1925,2011
18,"PERIYAR AT KALADY, KERALA",KERALA,26.3,7.4,7,38,0.9,0.26,386,1196,2011
1338,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,27,6.7,6.9,43,1,0.3,1043,2750,2011
2333,RIVER PERIYAR AT MUPPATHADAM,KERALA,27.4,7.1,7.3,48,1.5,0.36,595,1775,2011
2334,RIVER PERIYAR AT PATHALAM,KERALA,27,6.2,6.8,309,1.6,0.39,1129,2725,2011
2335,R PERIYAR AT KALAMASSERY,KERALA,27.4,5.2,6.8,61,1.8,0.33,1123,2650,2011
2336,R PERIYAR AT PURAPPALLIKAVU,KERALA,27.3,6.8,6.9,995,1.1,0.24,349,1258,2011
2300,R PERUVAMBA AT CHANDAPPURA,KERALA,27,6.8,6.9,52,0.9,0.45,39,198,2011
2303,R PULLUR AT PULLUR BR.,KERALA,27.8,6.2,6.6,44,0.7,0.21,715,1630,2011
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,28.4,4.5,6.5,77,1.1,0.34,400,2675,2011
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,28.8,4,7,19279,0.9,0.03,98,233,2011
2305,R SHRIYA AT ANGADIMOGARU,KERALA,28.8,7,7.4,69,1,0.12,230,660,2011
2296,R THALLASSERY AT PATHIPPALAM,KERALA,25.9,6.5,6.8,58,0.5,0.24,303,1026,2011
2292,R THIRUR AT THALAKKADATHUR BRIDGE,KERALA,28,4.6,6.9,98,0.6,0.11,168,348,2011
2306,R UPPALA AT  UPPALA BR.,KERALA,28.5,6.6,7.3,12327,0.6,0.71,1326,2210,2011
1442,"VAMANAPURAM, KERALA",KERALA,28.8,7.1,7,51,1,0.78,750,1700,2011
3305,"RIVER BANJAR AT MALANJKHAND NEAR W/S INTAKE POINT, JABALPUR",MADHYA PRADESH,22,7.3,7.3,402,2.1,0,4,32,2013
3305,"BANJAR AT MALANJKHAND NR W/S INTAKE POINT, JABALPUR",MADHYA PRADESH,23,7.3,7.4,388,2.1,0.58, ,46,2012
2651,"AMBA RIVER AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,25.1,6.6,7.8,95,4.9,0.2,16,36,2014
1461,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA,29.6,6.9,7.9,99,5,0.4,15,34,2014
2653,"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,27.4,6.8,7.7,85,5.2,0.3,11,23,2014
2654,"BHATSA RIVER AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,27.8,6.7,7.8,80,4.9,0.3,12,29,2014
1092,"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA,30.6,5.1,7.3,3937,10.3,1.8,31,83,2014
2670,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA,25,5.6,7.9,468,3.6,1.9,66,164,2014
1152,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",MAHARASHTRA,25,6.4,7.6,541,5.7,0.6,23,45,2014
2198,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,25,5.5,7.4,6166,7.7,1.1,44,67,2014
2671,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,25.3,5.3,7.7,24062,9.9,1.2,156,304,2014
2672,"KUNDALIKA RIVER AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNANSWEET ZONE), ROHA",MAHARASHTRA,25.1,6.7,7.6,83,4.8,0.2,28,76,2014
2168,MITHI RIVER,MAHARASHTRA,26.1,3.6,7.4,4424,31.3,2.2,276,474,2014
2676,"MUCHKUNDI RIVER AT  WAKED,RATNAGIRI, NEAR M/S ASAHI INDIA GLASS LTD., LANJA, RATNAGIRI.",MAHARASHTRA,21.4,7.2,7.7,226,3.1,0.8,NAN,130,2014
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,27.4,5.9,7.4,268,6.4,0.4,37,68,2014
1462,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",MAHARASHTRA,27.1,5.4,7.5,2413,7.4,1.5,59,116,2014
2685,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",MAHARASHTRA,27.2,5.8,7.3,384,5.4,0.6,37,78,2014
2686,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",MAHARASHTRA,27.3,5.9,7.4,269,5.1,1.2,34,60,2014
2687,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",MAHARASHTRA,27,6,7.3,269,8.5,0.4,32,58,2014
2688,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.",MAHARASHTRA,27.2,6.1,7.3,196,6.1,0.5,30,63,2014
2689,"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",MAHARASHTRA,27,5.9,7.4,269,6.4,0.4,19,47,2014
2696,"PEHLAR DAM ON PEHLAR RIVER INLET OF WATER WORKS, VASAI, THANE.",MAHARASHTRA,22.6,6.3,7.8,223,4.6,0.9,15,32,2014
2199,SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA,28.4,6.7,7.3,9293,3.5,1.8,NAN,0,2014
2701,"SAVITRI RIVER JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,28,6.8,7.2,170,3.1,1.4,NAN,0,2014
2702,"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",MAHARASHTRA,27.6,6.8,7.3,4175,3.3,1.6,NAN,0,2014
2703,"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",MAHARASHTRA,27.9,6.9,7.3,4282,3.3,1.6,NAN,0,2014
2704,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,28.1,6.9,7.3,5551,3.4,1.7,NAN,0,2014
2706,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,27.1,6.8,7.9,5390,4.9,0.8,15,28,2014
2707,"SURYA RIVER AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",MAHARASHTRA,27.6,6.6,8.1,161,4.6,0.3,16,32,2014
2708,"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA,27.3,6.7,8,138,5,0.3,14,33,2014
2709,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,27.8,6.7,7.8,81,4.9,0.3,14,35,2014
1093,"ULHAS AT U/S OF NRC BUND AT MOHANE, MAHARASHTRA",MAHARASHTRA,28,5.9,7.7,194,5.5,0.6,22,51,2014
1094,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",MAHARASHTRA,28.1,6.3,7.6,186,4.6,0.6,13,31,2014
2162,ULHAS RIVER ATJAMBHUL WATER WORKS.,MAHARASHTRA,28.6,6.6,7.6,207,4.7,0.7,12,31,2014
2712,"VAITARNA RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE.",MAHARASHTRA,26.9,6.8,7.7,85,5,0.4,15,34,2014
2164,VASHISTI RIVER AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,23,7.1,7.4,176,2.7,0.9,NAN,30,2014
2713,"VASHISHTI RIVER AT D/S OF THREE M PAPER MILLS NEAR CHIPLUN WATER INTAKE JACKWELL, KHERDI, RATNAGIRI",MAHARASHTRA,23,7,7.4,178,2.7,0.9,NAN,40,2014
2714,"VASHISHTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",MAHARASHTRA,23,7.2,7.2,180,2.7,1,NAN,70,2014
2651,"AMBA RIVER AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,26.7,6.9,7.7,121,3.3,1,77,163,2013
1461,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA,29.3,7.2,8.2,112,3.3,1,39,94,2013
2653,"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,28,6.9,7.7,103,3.7,0.57,48,103,2013
2654,"BHATSA RIVER AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,28.2,6.9,7.6,104,3.5,0.75,37,79,2013
1092,"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA,26.5,6.4,7.4,1003,4.3,2.89,524,753,2013
